# NOTE: companies_this_topic = unique companies for THIS topic only. DO NOT SUM - double-counts companies across topics. Global unique total: 373352 companies (all regions 90-day).
topic,companies_this_topic,total_signals,acc_NAMER,acc_EMEA,acc_APAC,acc_LATAM,acc_ANZ,acc_Global,sig_NAMER,sig_EMEA,sig_APAC,sig_LATAM,sig_ANZ,sig_Global
management strategies,18665,51755,2167,5317,518,7890,369,2404,6428,12414,1356,21175,911,9471
connected building,13276,51715,1289,3939,485,5366,264,1933,7878,14715,1471,20026,901,6724
ai platforms,21148,51710,2147,6257,758,8939,398,2649,5958,11856,1518,24071,1112,7195
seamless data,12364,51500,1387,4041,417,4327,315,1877,8710,16241,1459,17016,666,7408
infrastructure as a service (iaas),17735,51317,1740,6467,759,5917,451,2401,7169,17272,1488,17190,1107,7091
infrastructure modernization,17602,51113,1740,6416,755,5857,450,2384,7178,17116,1467,16405,1105,7842
industrial equipment,13181,51094,1212,3852,773,5354,245,1745,4823,13738,6090,19346,1053,6044
3d model,13071,50888,1206,3813,773,5304,243,1732,4808,13648,6089,19295,1047,6001
TikTok,20458,50879,2134,6692,730,7857,410,2635,5771,14322,1951,20096,1130,7609
social marketing,20459,50878,2134,6693,730,7856,410,2636,5771,14323,1951,20094,1130,7609
social media trends,20459,50878,2134,6693,730,7856,410,2636,5771,14323,1951,20094,1130,7609
cybersecurity risks,6895,50833,508,1101,122,4097,86,981,3931,9466,2758,27555,482,6641
digital industries,13019,50733,1204,3809,773,5269,243,1721,4810,13638,6089,19169,1047,5980
digital twin simulation,13019,50733,1204,3809,773,5269,243,1721,4810,13638,6089,19169,1047,5980
digital workflows,13019,50733,1204,3809,773,5269,243,1721,4810,13638,6089,19169,1047,5980
industrial internet,13019,50733,1204,3809,773,5269,243,1721,4810,13638,6089,19169,1047,5980
multi-physics,13019,50733,1204,3809,773,5269,243,1721,4810,13638,6089,19169,1047,5980
simulation and testing,13019,50733,1204,3809,773,5269,243,1721,4810,13638,6089,19169,1047,5980
virtual commissioning,13019,50733,1204,3809,773,5269,243,1721,4810,13638,6089,19169,1047,5980
3d model visualization,13017,50728,1204,3808,773,5268,243,1721,4806,13637,6089,19168,1047,5981
digital twin technology,13017,50728,1204,3808,773,5268,243,1721,4806,13637,6089,19168,1047,5981
virtual twin,13017,50728,1204,3808,773,5268,243,1721,4806,13637,6089,19168,1047,5981
data-driven insights,19835,50585,1847,5459,848,8605,357,2719,5889,13473,1995,19917,883,8428
healthcare cost management,2516,50567,204,923,77,956,85,271,3211,19233,396,20601,523,6603
ai-powered workflow automation,10627,50379,1150,3930,496,3456,219,1376,7554,16109,1674,17312,828,6902
cloud capabilities,17730,50215,1740,6416,755,5967,450,2402,7169,16877,1467,16631,1105,6966
ai infrastructure,17627,50118,1743,6418,759,5873,450,2384,7182,16906,1488,16522,1105,6915
modern infrastructure,17602,49930,1740,6417,755,5857,450,2383,7169,16878,1467,16405,1105,6906
Akamai,17600,49924,1740,6415,755,5857,450,2383,7169,16872,1467,16405,1105,6906
cloud-edge services,17600,49924,1740,6415,755,5857,450,2383,7169,16872,1467,16405,1105,6906
infrastructure evolution,17600,49924,1740,6415,755,5857,450,2383,7169,16872,1467,16405,1105,6906
agent-native infrastructure,17600,49918,1740,6416,755,5857,450,2382,7165,16873,1468,16405,1105,6902
augmented cloud infrastructure,17600,49918,1740,6416,755,5857,450,2382,7165,16873,1468,16405,1105,6902
cloud core,17600,49918,1740,6416,755,5857,450,2382,7165,16873,1468,16405,1105,6902
cloud-native infrastructure,17600,49918,1740,6416,755,5857,450,2382,7165,16873,1468,16405,1105,6902
data planes,17600,49918,1740,6416,755,5857,450,2382,7165,16873,1468,16405,1105,6902
extensible data planes,17600,49918,1740,6416,755,5857,450,2382,7165,16873,1468,16405,1105,6902
external connectivity,17600,49918,1740,6416,755,5857,450,2382,7165,16873,1468,16405,1105,6902
open source standards,17600,49918,1740,6416,755,5857,450,2382,7165,16873,1468,16405,1105,6902
automation system,11643,49913,1159,3632,470,4459,240,1683,7935,14099,1458,18976,868,6577
government it,9014,49622,656,1807,107,5111,118,1215,4958,10330,347,26757,966,6264
data platforms,11443,49566,1122,3261,331,4681,248,1800,6759,12507,1643,22087,705,5865
TXOne Networks,10058,49540,959,3273,429,3753,203,1441,6387,12622,1282,19630,1031,8588
ethical ai,18769,49505,1913,6135,586,6929,614,2592,5684,14956,1286,18739,1201,7639
high availability,11021,49493,1028,3159,647,4576,192,1419,4817,14537,5070,18629,563,5877
industry trends,10860,49470,870,2904,350,5159,174,1403,4383,8886,2783,26521,433,6464
regulatory landscape,15176,49363,1539,5597,732,4991,304,2013,5835,17542,1619,15090,780,8497
emerging technology,10872,49357,1188,3281,520,4270,165,1448,8067,12352,1587,19297,774,7280
emerging technology trends,10860,49337,1186,3276,518,4267,165,1448,8064,12346,1584,19292,774,7277
human capital,18767,49296,1920,6143,587,6909,616,2592,5697,14890,1292,18144,1207,8066
code generation,10457,49282,1117,3746,391,3396,261,1546,7345,17238,1226,15916,726,6831
revenue growth,16878,49107,1996,4997,548,6864,343,2130,6187,11998,1569,19169,880,9304
efficiency gains,10831,48976,1014,3097,645,4493,191,1391,4729,14354,5066,18472,560,5795
Comcast Business,13467,48764,95,3498,63,7526,39,2246,1055,22085,155,16932,192,8345
automation research,12752,48704,675,4729,196,5050,421,1681,3841,17263,633,19456,826,6685
human capital management (hcm),18764,48696,1919,6138,587,6912,616,2592,5704,14906,1296,18197,1214,7379
iot automation,10736,48665,1010,3090,645,4424,190,1377,4711,14282,5066,18270,559,5777
cyber-physical,10734,48659,1010,3088,645,4424,190,1377,4711,14276,5066,18270,559,5777
digital core,10734,48659,1010,3088,645,4424,190,1377,4711,14276,5066,18270,559,5777
iot integration,10734,48659,1010,3088,645,4424,190,1377,4711,14276,5066,18270,559,5777
Scale Computing,10734,48657,1010,3088,645,4424,190,1377,4710,14275,5066,18270,559,5777
container orchestration,10734,48657,1010,3088,645,4424,190,1377,4710,14275,5066,18270,559,5777
401(k),18643,48636,2029,5584,496,7588,445,2501,6635,11888,1622,20068,969,7454
401(k) plan,18625,48588,2029,5584,496,7573,445,2498,6635,11888,1622,20035,969,7439
business planning,18625,48588,2029,5584,496,7573,445,2498,6635,11888,1622,20035,969,7439
compensation structure,18625,48588,2029,5584,496,7573,445,2498,6635,11888,1622,20035,969,7439
incentive plan,18624,48588,2029,5584,496,7572,445,2498,6635,11889,1622,20034,969,7439
incentive programs,18624,48588,2029,5584,496,7572,445,2498,6635,11889,1622,20034,969,7439
incentive structure,18624,48588,2029,5584,496,7572,445,2498,6635,11889,1622,20034,969,7439
recordkeeping services,18625,48588,2029,5584,496,7573,445,2498,6635,11888,1622,20035,969,7439
retirement plan,18625,48588,2029,5584,496,7573,445,2498,6635,11888,1622,20035,969,7439
retirement plan administration,18625,48588,2029,5584,496,7573,445,2498,6635,11888,1622,20035,969,7439
sales compensation structure,18625,48588,2029,5584,496,7573,445,2498,6635,11888,1622,20035,969,7439
sales goals,18625,48588,2029,5584,496,7573,445,2498,6635,11888,1622,20035,969,7439
sales incentive program,18624,48588,2029,5584,496,7572,445,2498,6635,11889,1622,20034,969,7439
sales incentive programs,18624,48588,2029,5584,496,7572,445,2498,6635,11889,1622,20034,969,7439
tax adjustments,18625,48588,2029,5584,496,7573,445,2498,6635,11888,1622,20035,969,7439
team performance,18625,48588,2029,5584,496,7573,445,2498,6635,11888,1622,20035,969,7439
hybrid work,15741,48364,1652,4786,478,6429,246,2150,7216,11533,712,20760,711,7432
content marketing strategy,18838,47983,1997,6175,697,7192,395,2382,5179,13450,1878,18058,1067,8351
hr automation,18728,47972,1913,6127,586,6902,614,2586,5686,14705,1286,18109,1200,6986
recruiting automation,18735,47824,1912,6125,586,6911,614,2587,5683,14684,1286,18130,1200,6841
AMS,18729,47806,1913,6125,586,6904,614,2587,5684,14685,1286,18110,1201,6840
ai-driven talent acquisition,18729,47806,1913,6125,586,6904,614,2587,5684,14685,1286,18110,1201,6840
business system,18729,47806,1913,6125,586,6904,614,2587,5684,14685,1286,18110,1201,6840
candidate application management,18729,47806,1913,6125,586,6904,614,2587,5684,14685,1286,18110,1201,6840
ethical ai governance,18729,47806,1913,6125,586,6904,614,2587,5684,14685,1286,18110,1201,6840
skills data,18729,47806,1913,6125,586,6904,614,2587,5684,14685,1286,18110,1201,6840
skills data management,18729,47806,1913,6125,586,6904,614,2587,5684,14685,1286,18110,1201,6840
workforce design,18729,47806,1913,6125,586,6904,614,2587,5684,14685,1286,18110,1201,6840
ai augmentation,18727,47804,1913,6125,586,6902,614,2587,5684,14686,1286,18107,1200,6841
competitive strategy,18727,47804,1913,6125,586,6902,614,2587,5684,14686,1286,18107,1200,6841
organizational agility,18727,47804,1913,6125,586,6902,614,2587,5684,14686,1286,18107,1200,6841
workforce insights,18727,47804,1913,6125,586,6902,614,2587,5684,14686,1286,18107,1200,6841
workforce transformation,18727,47804,1913,6125,586,6902,614,2587,5684,14686,1286,18107,1200,6841
Phenom,18725,47800,1912,6125,586,6902,614,2586,5683,14684,1286,18108,1200,6839
candidate experience,18725,47800,1912,6125,586,6902,614,2586,5683,14684,1286,18108,1200,6839
resource library,18725,47800,1912,6125,586,6902,614,2586,5683,14684,1286,18108,1200,6839
time savings,17633,47745,1985,5478,543,7067,343,2217,6085,11687,1555,19300,865,8253
shop floor,10789,47578,1018,3497,480,4030,220,1544,6635,15386,1472,16735,838,6512
mobile app development,8336,47563,689,1802,174,4392,120,1159,4639,8161,2658,25649,401,6055
connected systems,11447,47498,1013,3353,461,4724,220,1676,7158,12633,1409,19396,784,6118
Cisco,10765,47000,1378,3673,362,3764,230,1358,5957,11596,516,20782,661,7488
connected components,12027,46694,1169,3959,525,4301,297,1776,7271,14018,1604,16845,807,6149
digital connections,12027,46694,1169,3959,525,4301,297,1776,7271,14018,1604,16845,807,6149
improved customer experience,12027,46694,1169,3959,525,4301,297,1776,7271,14018,1604,16845,807,6149
network behavior analysis,12027,46694,1169,3959,525,4301,297,1776,7271,14018,1604,16845,807,6149
smart transportation,12027,46694,1169,3959,525,4301,297,1776,7271,14018,1604,16845,807,6149
transportation infrastructure,12027,46694,1169,3959,525,4301,297,1776,7271,14018,1604,16845,807,6149
ot systems monitoring,12026,46691,1169,3959,524,4301,297,1776,7269,14018,1603,16845,807,6149
rail cybersecurity,12026,46691,1169,3959,524,4301,297,1776,7269,14018,1603,16845,807,6149
rail infrastructure security,12026,46691,1169,3959,524,4301,297,1776,7269,14018,1603,16845,807,6149
secure train operation,12026,46691,1169,3959,524,4301,297,1776,7269,14018,1603,16845,807,6149
corporate network,16663,46652,1616,5964,707,5665,414,2297,6782,15048,1336,15945,850,6691
ai-powered workflows,16288,46641,1696,6015,713,5265,371,2228,7419,14381,1446,16318,802,6275
data and ai,9307,46389,649,2554,402,4094,264,1344,3431,16279,951,17612,1629,6487
device integration,7417,46329,542,1090,137,4479,91,1078,5102,6295,1004,27337,451,6140
care management,7190,46262,530,1213,128,4197,98,1024,4041,7346,2543,25708,332,6292
sales development,18501,46090,1956,4245,661,8877,276,2486,5076,10215,1773,19448,574,9004
information technology (it),13849,46004,1377,4968,681,4742,318,1763,5125,15371,1411,14742,713,8642
security architecture,15598,45968,1509,5802,681,5068,402,2136,6368,14692,1327,13827,792,8962
personalized outreach,17154,45861,1979,5275,542,6852,356,2150,6075,11308,1549,18855,891,7183
Veriforce,13888,45852,1117,3349,257,6822,292,2051,4322,12930,910,18506,1170,8014
commercial general liability,13888,45852,1117,3349,257,6822,292,2051,4322,12930,910,18506,1170,8014
compliance documentation,13888,45852,1117,3349,257,6822,292,2051,4322,12930,910,18506,1170,8014
real estate,12336,45826,1057,3832,324,5143,222,1758,4128,13179,546,19360,808,7805
budgeting & forecasting,16072,45710,1477,4173,694,7261,242,2225,5945,9752,1527,21463,615,6408
cybersecurity requirements,11033,45694,916,3202,440,4637,201,1637,6236,12024,1323,19361,726,6024
security updates,8914,45665,584,1749,107,5113,119,1242,4072,10027,347,24026,970,6223
logistics services,6836,45496,498,985,104,4224,71,954,3419,5910,1945,27401,309,6512
competitive intelligence,16790,45189,1977,4955,542,6857,341,2118,6075,10710,1549,18894,863,7098
augmented reality,8219,45172,650,1422,132,4744,107,1164,4079,6475,2560,26048,348,5662
automation transformation,16773,45104,1977,4952,542,6844,341,2117,6073,10688,1549,18836,863,7095
consistent quality,16773,45104,1977,4952,542,6844,341,2117,6073,10688,1549,18836,863,7095
contact automation,16773,45104,1977,4952,542,6844,341,2117,6073,10688,1549,18836,863,7095
content extraction,16773,45104,1977,4952,542,6844,341,2117,6073,10688,1549,18836,863,7095
gtm automation,16773,45104,1977,4952,542,6844,341,2117,6073,10688,1549,18836,863,7095
intelligent matching,16773,45104,1977,4952,542,6844,341,2117,6073,10688,1549,18836,863,7095
saas sales,16773,45104,1977,4952,542,6844,341,2117,6073,10688,1549,18836,863,7095
Amplemarket,16772,45102,1977,4951,542,6844,341,2117,6073,10686,1549,18836,863,7095
multi-channel engagement,16772,45102,1977,4951,542,6844,341,2117,6073,10686,1549,18836,863,7095
sales quota management,15959,45043,1978,4591,533,6532,326,1999,6523,10763,1561,17008,874,8314
Esker,17835,45000,1578,4497,836,8119,268,2537,4900,10938,2041,19160,577,7384
oracle,15239,44936,1606,5233,657,5378,306,2059,7487,12538,1399,16305,685,6522
development environments,12154,44877,1257,4727,445,3558,362,1805,6990,15441,1722,14039,1030,5655
performance optimization,18928,44659,1988,6282,689,7179,390,2400,5121,12266,1828,17887,1049,6508
cost allocation,12587,44638,1321,4151,528,4737,216,1634,7074,9656,937,20894,501,5576
medtech trends,4033,44622,309,718,91,2305,66,544,5559,6308,1044,25560,696,5455
lakehouse architecture,11027,44574,911,2701,267,5204,203,1741,4803,9558,1288,23006,581,5338
e-book,14912,44513,1041,3199,337,7697,250,2388,5691,13352,838,17265,1110,6257
cloud cost reduction,15228,44504,1604,5229,656,5376,306,2057,7485,12521,1398,16302,685,6113
clinical trial,6659,44431,499,978,103,4072,70,937,3451,5879,1941,26423,305,6432
sales funnel optimization,18412,44294,1941,4206,656,8857,272,2480,5010,9105,1764,19209,565,8641
WordStream,18731,44274,1988,6125,689,7168,390,2371,5121,12054,1828,17874,1049,6348
content marketing trends,18731,44274,1988,6125,689,7168,390,2371,5121,12054,1828,17874,1049,6348
multi-media,18731,44274,1988,6125,689,7168,390,2371,5121,12054,1828,17874,1049,6348
paid advertising,18731,44274,1988,6125,689,7168,390,2371,5121,12054,1828,17874,1049,6348
social media marketing,18731,44274,1988,6125,689,7168,390,2371,5121,12054,1828,17874,1049,6348
context marketing,18729,44273,1988,6125,689,7167,390,2370,5121,12054,1828,17873,1049,6348
contextual targeting,18729,44273,1988,6125,689,7167,390,2370,5121,12054,1828,17873,1049,6348
cookie-less targeting,18729,44273,1988,6125,689,7167,390,2370,5121,12054,1828,17873,1049,6348
on-board,18729,44273,1988,6125,689,7167,390,2370,5121,12054,1828,17873,1049,6348
brand awareness,18730,44272,1987,6126,689,7168,390,2370,5120,12055,1828,17873,1049,6347
content relevance,18730,44272,1987,6126,689,7168,390,2370,5120,12055,1828,17873,1049,6347
content tracking,18730,44272,1987,6126,689,7168,390,2370,5120,12055,1828,17873,1049,6347
email newsletters,18730,44272,1987,6126,689,7168,390,2370,5120,12055,1828,17873,1049,6347
marketing program,18730,44272,1987,6126,689,7168,390,2370,5120,12055,1828,17873,1049,6347
multi-channel distribution,18730,44272,1987,6126,689,7168,390,2370,5120,12055,1828,17873,1049,6347
content management,16646,44136,1984,4559,490,7187,316,2110,5951,10134,1277,18483,654,7637
ai-powered devices,16284,43850,1331,4147,226,7642,392,2546,2742,10871,700,20641,893,8003
clinical logistics,6522,43788,497,969,103,3969,69,915,3418,5809,1941,26037,298,6285
clinical research organization,6522,43788,497,969,103,3969,69,915,3418,5809,1941,26037,298,6285
cro services,6522,43788,497,969,103,3969,69,915,3418,5809,1941,26037,298,6285
integrated model,6522,43788,497,969,103,3969,69,915,3418,5809,1941,26037,298,6285
lab operations,6522,43788,497,969,103,3969,69,915,3418,5809,1941,26037,298,6285
laboratory expertise,6522,43788,497,969,103,3969,69,915,3418,5809,1941,26037,298,6285
novel therapeutics,6522,43788,497,969,103,3969,69,915,3418,5809,1941,26037,298,6285
regulatory expertise,6522,43788,497,969,103,3969,69,915,3418,5809,1941,26037,298,6285
specialty lab services,6522,43788,497,969,103,3969,69,915,3418,5809,1941,26037,298,6285
adaptive trial design,6523,43786,497,969,103,3970,69,915,3414,5813,1941,26034,300,6284
biomarker validation,6523,43786,497,969,103,3970,69,915,3414,5813,1941,26034,300,6284
clinical development,6523,43786,497,969,103,3970,69,915,3414,5813,1941,26034,300,6284
liquid biopsy,6523,43786,497,969,103,3970,69,915,3414,5813,1941,26034,300,6284
oncology clinical development,6523,43786,497,969,103,3970,69,915,3414,5813,1941,26034,300,6284
oncology clinical trials,6523,43786,497,969,103,3970,69,915,3414,5813,1941,26034,300,6284
oncology trials,6523,43786,497,969,103,3970,69,915,3414,5813,1941,26034,300,6284
targeted treatments,6523,43786,497,969,103,3970,69,915,3414,5813,1941,26034,300,6284
trial design,6523,43786,497,969,103,3970,69,915,3414,5813,1941,26034,300,6284
Advantech,10508,43785,1009,3350,460,3963,218,1508,7176,12541,1408,16396,765,5499
biomarker strategy,6524,43784,497,970,103,3970,69,915,3411,5813,1941,26036,298,6285
biomarker-directed therapies,6524,43784,497,970,103,3970,69,915,3411,5813,1941,26036,298,6285
companion diagnostics,6524,43784,497,970,103,3970,69,915,3411,5813,1941,26036,298,6285
diagnostic commercialization,6524,43784,497,970,103,3970,69,915,3411,5813,1941,26036,298,6285
precision medicine development,6524,43784,497,970,103,3970,69,915,3411,5813,1941,26036,298,6285
therapeutic development,6524,43784,497,970,103,3970,69,915,3411,5813,1941,26036,298,6285
emerging technologies,15973,43783,1736,4967,489,6211,380,2190,5083,14980,907,15117,849,6847
ai-powered development,16506,43744,1748,5599,731,5818,335,2275,7623,12429,1401,15376,763,6152
injury prevention,5072,43595,565,1632,55,2059,90,671,7224,15438,264,15274,714,4681
musculoskeletal disorders,5072,43595,565,1632,55,2059,90,671,7224,15438,264,15274,714,4681
secure access,13791,43513,1374,4847,566,4891,319,1794,5316,13036,1077,17061,814,6209
